,Location,Subcategory,Hierarchy_Level,Year,RSP_USD_Mnl,Volume
587,4,9,2,2020,700.0,80.0
588,4,9,2,2021,757.0,86.0
589,4,9,2,2022,823.0,93.0
590,4,9,2,2023,899.0,100.0
591,4,9,2,2024,979.0,108.0
592,4,9,2,2025,1072.0,117.0
593,4,9,2,2026,1178.0,128.0
594,5,9,2,2016,1.78,1.203
595,5,9,2,2017,1.863,1.173
596,5,9,2,2018,1.897,1.231
597,5,9,2,2019,2.139,1.308
598,5,9,2,2020,2.284,1.34
599,5,9,2,2021,2.387,1.353
600,5,9,2,2022,2.494,1.366
601,5,9,2,2023,2.591,1.383
602,5,9,2,2024,2.691,1.403
603,5,9,2,2025,2.768,1.423
604,5,9,2,2026,2.844,1.444
605,6,9,2,2016,14.739,1.882
606,6,9,2,2017,17.016,2.18
607,6,9,2,2018,19.088,2.486
608,6,9,2,2019,20.783,2.66
609,6,9,2,2020,21.186,2.716
610,6,9,2,2021,21.196,2.741
611,6,9,2,2022,21.536,2.784
612,6,9,2,2023,22.006,2.838
613,6,9,2,2024,22.546,2.897
614,6,9,2,2025,23.127,2.96
615,6,9,2,2026,23.748,3.026
616,7,9,2,2016,19.599,3.546
617,7,9,2,2017,19.892,3.526
618,7,9,2,2018,20.334,3.558
619,7,9,2,2019,20.905,3.587
620,7,9,2,2020,21.42,3.64
621,7,9,2,2021,21.96,3.682
622,7,9,2,2022,22.598,3.738
623,7,9,2,2023,23.175,3.788
624,7,9,2,2024,23.661,3.828
625,7,9,2,2025,24.105,3.864
626,7,9,2,2026,24.529,3.897
627,1,10,4,2016,23.267,4.669
628,1,10,4,2017,27.158,5.428
629,1,10,4,2018,30.831,06.06
630,1,10,4,2019,35.972,6.987
631,1,10,4,2020,39.593,7.65
632,1,10,4,2021,42.913,8.223
633,1,10,4,2022,46.489,8.825
634,1,10,4,2023,49.853,9.435
635,1,10,4,2024,53.518,10.067
636,1,10,4,2025,57.11,10.698
637,1,10,4,2026,60.634,11.336
638,2,10,4,2016,6516.0,752.0
639,2,10,4,2017,7098.0,809.0
640,2,10,4,2018,7560.0,850.0
641,2,10,4,2019,7915.0,886.0
642,2,10,4,2020,8316.0,933.0
643,2,10,4,2021,8701.0,973.0
644,2,10,4,2022,9223.0,1009.0
645,2,10,4,2023,9765.0,1042.0
646,2,10,4,2024,10303.0,1073.0
647,2,10,4,2025,10845.0,1104.0
648,2,10,4,2026,11393.0,1134.0
649,3,10,4,2016,16.42,5.776
650,3,10,4,2017,16.532,5.609
651,3,10,4,2018,16.089,5.32
652,3,10,4,2019,14.496,4.933
653,3,10,4,2020,14.481,4.871
654,3,10,4,2021,14.657,4.854
655,3,10,4,2022,14.648,4.879
656,3,10,4,2023,14.727,4.911
657,3,10,4,2024,14.847,4.956
658,3,10,4,2025,14.996,5.014
659,3,10,4,2026,15.165,5.079
660,4,10,4,2016,13.403,2.435
661,4,10,4,2017,14.943,2.591
662,4,10,4,2018,16.894,2.772
663,4,10,4,2019,18.463,2.901
664,4,10,4,2020,18.715,3.016
665,4,10,4,2021,20.044,3.27
666,4,10,4,2022,21.428,3.486
667,4,10,4,2023,22.974,3.714
668,4,10,4,2024,24.646,3.952
669,4,10,4,2025,26.399,4.193
670,4,10,4,2026,28.239,4.439
671,5,10,4,2016,7.968,1.695
672,5,10,4,2017,8.444,1.801
673,5,10,4,2018,8.935,1.908
674,5,10,4,2019,9.247,2.007
675,5,10,4,2020,9.821,2.097
676,5,10,4,2021,10.358,2.186
677,5,10,4,2022,11.168,2.284
678,5,10,4,2023,11.973,2.388
679,5,10,4,2024,12.826,2.488
680,5,10,4,2025,13.597,2.583
681,5,10,4,2026,14.24,2.674
682,6,10,4,2016,30.879,5.215
683,6,10,4,2017,30.934,5.318
684,6,10,4,2018,32.326,5.632
685,6,10,4,2019,34.923,6.094
686,6,10,4,2020,36.492,6.408
687,6,10,4,2021,38.08,6.785
688,6,10,4,2022,39.891,7.144
689,6,10,4,2023,41.686,7.481
690,6,10,4,2024,43.42,7.798
691,6,10,4,2025,45.057,8.086
692,6,10,4,2026,46.536,8.343
693,7,10,4,2016,53.305,9.316
694,7,10,4,2017,52.62,9.214
695,7,10,4,2018,52.794,9.208
696,7,10,4,2019,53.173,9.259
697,7,10,4,2020,53.787,9.356
698,7,10,4,2021,54.211,9.413
699,7,10,4,2022,54.964,9.482
700,7,10,4,2023,55.757,9.549
701,7,10,4,2024,56.574,9.619
702,7,10,4,2025,57.382,9.686
703,7,10,4,2026,58.232,9.76
