Location,Subcategory_ID,Hierarchy_Level,Global_Brand_Owner,Year,Volume_Kl
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2017,200.9234887
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2018,205.4854017
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2019,203.6825752
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2020,206.6968417
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2021,211.6123622
8,13,1,Karlsberg Brauerei GmbH & Co KG,2017,217.0735785
8,13,1,Karlsberg Brauerei GmbH & Co KG,2018,219.8993209
8,13,1,Karlsberg Brauerei GmbH & Co KG,2019,205.774986
8,13,1,Karlsberg Brauerei GmbH & Co KG,2020,199.508692
8,13,1,Karlsberg Brauerei GmbH & Co KG,2021,196.1418677
8,13,1,Behnoush Iran Co,2017,165.2537927
8,13,1,Behnoush Iran Co,2018,168.1420017
8,13,1,Behnoush Iran Co,2019,183.1972018
8,13,1,Behnoush Iran Co,2020,183.4536734
8,13,1,Behnoush Iran Co,2021,183.7105068
8,13,1,"Cisneros, Grupo",2017,263.842701
8,13,1,"Cisneros, Grupo",2018,267.9863859
8,13,1,"Cisneros, Grupo",2019,240.6517877
8,13,1,"Cisneros, Grupo",2020,215.7398368
8,13,1,"Cisneros, Grupo",2021,133.8262398
8,13,1,Asia Brewery Inc,2017,122.1566439
8,13,1,Asia Brewery Inc,2018,119.9233441
8,13,1,Asia Brewery Inc,2019,118.5149598
8,13,1,Asia Brewery Inc,2020,125.4547218
8,13,1,Asia Brewery Inc,2021,129.1870213
8,13,1,SABMiller Plc,2017,18092.43481
8,13,1,SABMiller Plc,2018,18410.23304
8,13,1,SABMiller Plc,2019,18833.34911
8,13,1,SABMiller Plc,2020,0.665304266
8,13,1,SABMiller Plc,2021,0.678795411
8,13,1,Unicer - Bebidas de Portugal SA,2017,250.3174504
8,13,1,Unicer - Bebidas de Portugal SA,2018,219.1409281
8,13,1,Unicer - Bebidas de Portugal SA,2019,212.7930199
8,13,1,Unicer - Bebidas de Portugal SA,2020,208.9100012
8,13,1,China Resources Enterprise Ltd,2017,12099.24939
8,13,1,China Resources Enterprise Ltd,2018,11812.58086
8,13,1,Pabst Brewing Co,2017,1107.405548
8,13,1,Oriental Brewery Co Ltd,2017,1105.500076
8,13,1,Nantong Fuhao Alcohol Industry Co Ltd,2017,371.3819773
8,13,1,Private Label,2017,1778.968817
8,13,1,Private Label,2018,1806.19589
8,13,1,Private Label,2019,1809.634292
8,13,1,Private Label,2020,1836.365253
8,13,1,Private Label,2021,1832.828105
8,13,1,Others,2017,30366.56813
